train,type,station_no,station,arrival_s,departure_s,arrival,departure,dwell_s,served
T19,小交路,4,站4,2997.0,3017.0,07:49:57,07:50:17,20,Y
T19,小交路,5,站5,3122.0,3142.0,07:52:02,07:52:22,20,Y
T19,小交路,6,站6,3282.0,3302.0,07:54:42,07:55:02,20,Y
T19,小交路,7,站7,3427.0,3447.4,07:57:07,07:57:27,20.4,Y
T19,小交路,8,站8,3562.4,3582.4,07:59:22,07:59:42,20,Y
T19,小交路,9,站9,3717.4,3737.4,08:01:57,08:02:17,20,Y
T19,小交路,10,站10,3842.4,3862.4,08:04:02,08:04:22,20,Y
T20,大交路,1,站1,2736.0,2756.0,07:45:36,07:45:56,20,Y
T20,大交路,2,站2,2871.0,2891.0,07:47:51,07:48:11,20,Y
T20,大交路,3,站3,2991.0,3011.0,07:49:51,07:50:11,20,Y
T20,大交路,4,站4,3141.0,3161.0,07:52:21,07:52:41,20,Y
T20,大交路,5,站5,3266.0,3286.0,07:54:26,07:54:46,20,Y
T20,大交路,6,站6,3426.0,3446.0,07:57:06,07:57:26,20,Y
T20,大交路,7,站7,3571.0,3591.4,07:59:31,07:59:51,20.4,Y
T20,大交路,8,站8,3706.4,3726.4,08:01:46,08:02:06,20,Y
T20,大交路,9,站9,3861.4,3881.4,08:04:21,08:04:41,20,Y
T20,大交路,10,站10,3986.4,4006.4,08:06:26,08:06:46,20,Y
T20,大交路,11,站11,4126.4,4146.4,08:08:46,08:09:06,20,Y
T20,大交路,12,站12,4246.4,4266.4,08:10:46,08:11:06,20,Y
T21,小交路,4,站4,3285.0,3305.0,07:54:45,07:55:05,20,Y
T21,小交路,5,站5,3410.0,3430.0,07:56:50,07:57:10,20,Y
T21,小交路,6,站6,3570.0,3590.0,07:59:30,07:59:50,20,Y
T21,小交路,7,站7,3715.0,3735.4,08:01:55,08:02:15,20.4,Y
T21,小交路,8,站8,3850.4,3870.4,08:04:10,08:04:30,20,Y
T21,小交路,9,站9,4005.4,4025.4,08:06:45,08:07:05,20,Y
T21,小交路,10,站10,4130.4,4150.4,08:08:50,08:09:10,20,Y
T22,大交路,1,站1,3024.0,3044.0,07:50:24,07:50:44,20,Y
T22,大交路,2,站2,3159.0,3179.0,07:52:39,07:52:59,20,Y
